int;string;;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;;string;int;int;
ID;注释;;;产物1;产物1;数量1;;产物2;产物2;数量2;;产物3;产物3;数量3;;产物4;产物4;数量4;;产物5;产物5;数量5;;产物6;产物6;数量6;;产物7;产物7;数量7;;产物8;产物8;数量8;;产物9;产物9;数量9;;产物10;产物10;数量10;
id;tip;;;item1;item1;num1;;item2;item2;num2;;item3;item3;num3;;item4;item4;num4;;item5;item5;num5;;item6;item6;num6;;item7;item7;num7;;item8;item8;num8;;item9;item9;num9;;item10;item10;num10;
1;教学1固定产出;"2x20;3001x1";"2x20;3001x1;";金币;2;20;"2x20;";机关1碎片;3001;1;"3001x1;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;教学2固定产出;"2x20;3001x1";"2x20;3001x1;";金币;2;20;"2x20;";机关1碎片;3001;1;"3001x1;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;关卡1固定产出;"2x20;1001x1";"2x20;1001x1;";金币;2;20;"2x20;";英雄1碎片;1001;1;"1001x1;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;关卡2固定产出;"2x20;1001x1";"2x20;1001x1;";金币;2;20;"2x20;";英雄1碎片;1001;1;"1001x1;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;关卡3固定产出;"2x30;3002x2";"2x30;3002x2;";金币;2;30;"2x30;";机关2碎片;3002;2;"3002x2;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;关卡4固定产出;"2x30;2001x2";"2x30;2001x2;";金币;2;30;"2x30;";装备1碎片;2001;2;"2001x2;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;关卡5固定产出;"2x40;3003x1;3004x1;3005x1";"2x40;3003x1;3004x1;3005x1;";金币;2;40;"2x40;";机关3碎片;3003;1;"3003x1;";机关4碎片;3004;1;"3004x1;";机关5碎片;3005;1;"3005x1;";;;;;;;;;;;;;;;;;;;;;;;;
1006;关卡6固定产出;"2x40;3004x1;3005x1;3006x1";"2x40;3004x1;3005x1;3006x1;";金币;2;40;"2x40;";机关4碎片;3004;1;"3004x1;";机关5碎片;3005;1;"3005x1;";机关6碎片;3006;1;"3006x1;";;;;;;;;;;;;;;;;;;;;;;;;
