int;string;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int
等级id;英雄名称;品质;等级;需要碎片id;碎片消耗;金币消耗;水晶经验;生命值;伤害;物理防御;魔法防御;物理攻击;魔法攻击;攻击距离;攻击速度;移动速度
level_id;name;quality;level;piece_id;piece;gold;cystal_exp;hp;damage;physical_defence;magic_defence;physical_attack;magic_attack;attack_dist;attack_speed;movement_speed
3001001;机关1;2;1;3001;0;0;0;600;60;6;6;6;6;500;1;0
3001002;机关1;2;2;3001;2;5;4;700;70;7;7;7;7;500;1;0
3001003;机关1;2;3;3001;4;20;5;800;80;8;8;8;8;500;1;0
3001004;机关1;2;4;3001;10;50;6;900;90;9;9;9;9;500;1;0
3001005;机关1;2;5;3001;20;150;10;1000;100;10;10;10;10;500;1;0
3001006;机关1;2;6;3001;50;400;25;1100;110;11;11;11;11;500;1;0
3001007;机关1;2;7;3001;100;1000;50;1200;120;12;12;12;12;500;1;0
3001008;机关1;2;8;3001;200;2000;100;1300;130;13;13;13;13;500;1;0
3001009;机关1;2;9;3001;400;4000;200;1400;140;14;14;14;14;500;1;0
3001010;机关1;2;10;3001;800;8000;400;1500;150;15;15;15;15;500;1;0
3001011;机关1;2;11;3001;1000;10000;500;1600;160;16;16;16;16;500;1;0
3001012;机关1;2;12;3001;1100;11000;550;1700;170;17;17;17;17;500;1;0
3001013;机关1;2;13;3001;1200;12000;600;1800;180;18;18;18;18;500;1;0
